time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3331528523351086e-07,3.352499024261544e-07,10.007838369682208,0.00011404047603313927,5.410271039618664e-05,0.0,-9.219859628649828e-06,2.2146119781485587e-05,0.2612552637309054,0.0026891189070891585,0.0016164814184208504,0.0,485.6582613838698,485.77945608900336,484.93600381522054,485.1379028740965
0.12000000000000001,-2.4988493282266436e-05,6.790976815190252e-06,10.033609132040915,0.0005744373459277696,0.004852916397514839,0.0,-0.0014457591665940845,0.00024937694850878637,0.597654644006868,0.0075986578176884,0.024200082924466706,0.0,505.00405609855625,506.63006245957155,507.00204344063025,507.3545183434463
0.18,-0.00023180865969409797,4.0151124184656125e-05,10.070449384069859,0.003032165996267544,0.013896413707355393,0.0,-0.006253929458721148,0.001075607201617867,0.6303294881837367,0.021943965508822307,0.05320619345649467,0.0,413.3365290174334,415.88519997540743,415.5126078667884,416.768047357447
0.23999999999999996,-0.0009328865731491906,0.0001911214919113,10.1109423330422,0.01001372711271209,0.024880483931384312,0.0,-0.018249272947046702,0.004632329693626917,0.7193594636260644,0.046844226786964885,0.021404584132201962,0.0,435.1551689242311,432.48638438693877,432.8702873579342,434.9607110672132
0.3,-0.002669101800674168,0.000740074546252254,10.161714330797999,0.01402971939636366,0.027730677467027398,0.0,-0.03995985238144853,0.014151420540670132,0.9728447217243589,0.057730355401369136,0.03396494771609159,0.0,483.24354612910935,484.1893590833162,483.4892614635534,484.3100228293762
0.36000000000000004,-0.0057385975577389685,0.0019400547591902912,10.22630075543372,0.01769606488171327,0.029966201600323927,0.0,-0.06261034646079693,0.026272456544818273,1.1798307940332728,0.06160383875381275,0.037780318334579684,0.0,470.556030439967,470.8517206282246,470.56175300577814,470.86369890129583
0.4200000000000001,-0.010235610419044592,0.003967467186374944,10.303500804904184,0.023081953254512122,0.034417337872453935,0.0,-0.08779395961144641,0.04196143145506254,1.3932384063713468,0.046113666611728055,0.052814578353812855,0.0,472.87669156423595,474.0341728186963,473.25121832439595,472.05953177535457
0.48000000000000015,-0.016418943154126498,0.007123156786994381,10.394578509591954,0.034904371134081735,0.044596684082454985,0.0,-0.11960625926437828,0.06472775981587268,1.642267955396884,0.011926953218007155,0.02258510702744028,0.0,485.1053172381195,482.8311733793476,485.34602603874623,482.7741315059997
0.5400000000000001,-0.024518768112921932,0.0117468113492559,10.495788906629791,0.04333685989348712,0.04895935606091584,0.0,-0.15080247859224533,0.09020539550793975,1.7312272367347021,0.04118117812468529,0.04042042160779245,0.0,434.87242226481857,436.36398365307366,436.0448078699811,438.48176989490986
0.6000000000000002,-0.03444804374312019,0.017943956937643783,10.599739617188046,0.04839244805682519,0.05248813679425712,0.0,-0.18047390651981907,0.1167933142653155,1.7337536330426548,0.05763330024439114,0.05079027910498526,0.0,408.4152856938548,409.340351304824,407.051097938281,408.52217488590804
0.6600000000000003,-0.04632675431065093,0.025921693396634016,10.705778977987608,0.052970555076670145,0.05644612899439316,0.0,-0.21587444964751218,0.14958152825452123,1.8007376894525988,0.04477735802176954,0.03906815029394219,0.0,429.69243157844414,428.6990276814385,431.12409841823063,430.03855952464073
0.7200000000000003,-0.06046369555629037,0.036008056394456804,10.816913207078343,0.05586819054747405,0.059068936703639,0.0,-0.2556125680777044,0.18692305218378436,1.9035312620215077,0.03840413710648306,0.043774435574742566,0.0,440.74030108762105,441.1299504870638,442.6893993854768,442.16571204417943
0.7800000000000004,-0.0769408672669172,0.048283401160361464,10.932176080552072,0.060101816368447025,0.0676302745885673,0.0,-0.2944413288092858,0.22262544093138345,1.938422881799734,0.05246712027620954,0.015860500200199475,0.0,421.1839120684869,418.7635433156629,419.7585709425073,420.9782865857917
0.8400000000000004,-0.09612272827691412,0.06302235782838503,11.052952278872542,0.07180716887800997,0.07039227584897834,0.0,-0.34525722065764136,0.2699685600531043,2.087068551235564,0.01919947938545171,-0.00012748616974563292,0.0,457.02142701196476,455.7452954800334,458.45612864920747,455.80627984368994
0.9000000000000005,-0.11858972098480473,0.0810080391405423,11.185239371709951,0.07380525317641773,0.07100434601047834,0.0,-0.40367854958554944,0.3297755690902404,2.322011588475048,0.007851840650545183,0.007379249521114496,0.0,482.60763491961035,483.1738272235912,483.89615507190405,483.04110751725307
0.9600000000000005,-0.14446042879749438,0.1025017870970646,11.329976922435405,0.0742762100430836,0.07145069872151755,0.0,-0.45870486910767605,0.3867064739575338,2.5021688399156647,0.0054595976363559645,0.007547363888521488,0.0,467.3688387531348,467.38182478930423,468.82798496603976,468.6419709585512
1.0200000000000005,-0.17368316851945098,0.12751565151178368,11.485980707019332,0.08779736456873977,0.07346296816173048,0.0,-0.5155763841174895,0.44866740034327235,2.69734214249124,-0.035548297513858136,0.020079485472021204,0.0,473.1662468970877,474.12990598407856,474.8411418288096,471.6848879332378
1.0800000000000005,-0.20626944511879983,0.1563651738124032,11.65220448345369,0.08570708819534278,0.0784493592945763,0.0,-0.571130595856148,0.5127125707699628,2.8430509559361243,-0.03418819927290898,0.04021560498278462,0.0,458.17221430235037,459.77049172466553,460.5199618501361,460.6270484962276
1.1400000000000006,-0.2420260090718174,0.18872955835159919,11.823826209424432,0.08501862349602174,0.08093186046470446,0.0,-0.6209798339495247,0.5660327315370476,2.877548806797567,-0.04823284915351884,0.04214401329084978,0.0,425.87981908547755,426.04568571041045,425.3784303521973,424.17317126950456
